time,open,high,low,close,tick_volume,spread,real_volume
2025-04-30 16:00:00,3298.65,3301.76,3296.81,3301.59,97,18,0
2025-04-30 16:01:00,3301.67,3302.33,3300.7,3301.68,94,20,0
2025-04-30 16:02:00,3301.77,3303.58,3300.91,3301.2,99,20,0
2025-04-30 16:03:00,3301.53,3301.96,3298.53,3298.65,97,21,0
2025-04-30 16:04:00,3298.59,3299.34,3297.14,3297.22,94,22,0
2025-04-30 16:05:00,3296.94,3298.1,3296.23,3298.1,100,21,0
2025-04-30 16:06:00,3298.11,3300.59,3297.98,3299.8,95,19,0
2025-04-30 16:07:00,3299.9,3300.87,3298.28,3300.1,96,16,0
2025-04-30 16:08:00,3300.18,3301.11,3299.52,3301.09,81,19,0
2025-04-30 16:09:00,3301.51,3302.56,3300.39,3300.58,93,19,0
2025-04-30 16:10:00,3300.03,3301.82,3299.63,3301.47,89,18,0
2025-04-30 16:11:00,3301.42,3302.24,3300.15,3302.0,93,19,0
2025-04-30 16:12:00,3302.17,3303.87,3301.45,3303.38,92,18,0
2025-04-30 16:13:00,3303.44,3305.16,3302.87,3305.16,101,15,0
2025-04-30 16:14:00,3305.71,3308.51,3305.7,3308.08,111,5,0
2025-04-30 16:15:00,3307.5,3309.67,3306.57,3306.65,109,18,0
2025-04-30 16:16:00,3306.55,3306.67,3304.98,3305.01,99,18,0
2025-04-30 16:17:00,3305.02,3306.19,3304.39,3305.48,96,9,0
2025-04-30 16:18:00,3305.39,3305.84,3303.09,3303.21,91,18,0
2025-04-30 16:19:00,3303.17,3305.66,3303.1,3305.07,103,18,0
2025-04-30 16:20:00,3305.07,3306.83,3305.07,3306.09,91,18,0
2025-04-30 16:21:00,3306.06,3306.65,3303.8,3306.36,90,18,0
2025-04-30 16:22:00,3306.47,3306.51,3303.06,3303.06,92,19,0
2025-04-30 16:23:00,3303.05,3303.98,3301.24,3301.26,95,18,0
2025-04-30 16:24:00,3301.28,3303.79,3301.28,3301.68,100,19,0
2025-04-30 16:25:00,3301.66,3302.95,3301.41,3302.27,82,19,0
2025-04-30 16:26:00,3302.27,3302.28,3300.43,3300.76,85,18,0
2025-04-30 16:27:00,3300.67,3303.04,3300.64,3302.85,99,20,0
2025-04-30 16:28:00,3302.82,3305.92,3302.7,3305.85,100,18,0
2025-04-30 16:29:00,3305.89,3306.35,3304.23,3304.47,92,15,0
2025-04-30 16:30:00,3304.47,3307.52,3304.33,3306.0,119,18,0
2025-04-30 16:31:00,3306.01,3306.61,3304.33,3305.31,113,18,0
2025-04-30 16:32:00,3305.34,3307.12,3304.53,3305.71,103,19,0
2025-04-30 16:33:00,3305.65,3306.5,3303.99,3305.3,99,19,0
2025-04-30 16:34:00,3305.3,3308.05,3304.45,3308.03,104,18,0
2025-04-30 16:35:00,3307.88,3310.89,3307.25,3310.64,114,20,0
2025-04-30 16:36:00,3310.7,3315.4,3310.58,3315.1,113,19,0
2025-04-30 16:37:00,3315.17,3317.88,3315.03,3316.11,116,18,0
2025-04-30 16:38:00,3315.93,3318.69,3315.93,3317.89,105,18,0
2025-04-30 16:39:00,3316.4,3319.62,3315.92,3319.08,106,5,0
2025-04-30 16:40:00,3319.22,3319.68,3314.14,3314.14,109,23,0
2025-04-30 16:41:00,3314.04,3315.79,3313.76,3314.23,102,21,0
2025-04-30 16:42:00,3314.38,3318.1,3313.38,3318.1,107,18,0
2025-04-30 16:43:00,3318.12,3318.79,3315.55,3316.21,107,18,0
2025-04-30 16:44:00,3316.18,3318.54,3314.98,3318.39,103,10,0
2025-04-30 16:45:00,3318.5,3318.9,3316.1,3316.42,103,18,0
2025-04-30 16:46:00,3316.41,3317.69,3314.63,3314.63,108,5,0
2025-04-30 16:47:00,3314.58,3315.23,3313.65,3314.17,112,5,0
2025-04-30 16:48:00,3314.14,3315.71,3312.54,3314.77,115,18,0
2025-04-30 16:49:00,3314.73,3315.54,3313.13,3313.69,106,18,0
2025-04-30 16:50:00,3314.15,3315.47,3313.32,3314.33,110,16,0
2025-04-30 16:51:00,3314.3,3315.1,3312.12,3312.12,105,18,0
2025-04-30 16:52:00,3312.16,3313.79,3311.64,3312.61,103,18,0
2025-04-30 16:53:00,3312.84,3313.84,3310.98,3311.73,105,20,0
2025-04-30 16:54:00,3311.71,3312.4,3309.44,3310.16,107,19,0
